source_id,bp_rp,phot_g_mean_mag,parallax,source_ids,chi2
5786510623593746304,0.72417545,8.780074,6.88745490365565,5.7865106235937464E18,60.86
5872349187172279168,0.35478592,9.378751,1.1579483558440562,5.8723491871722793E18,284.6
5872286686804386688,-0.016299725,7.822502,1.1368840272270764,5.8722866868043868E18,100.2
5872180205985089024,1.1118994,9.463224,16.572803367627348,5.8721802059850895E18,977.7
5786595934526227200,1.5406394,6.0164466,1.609782563471675,5.7865959345262275E18,426.2
5786729701287652864,0.9048157,17.79879,0.14673078519064942,5.7867297012876534E18,42.54
5786729701287653376,0.8239441,8.880533,6.701869202503274,5.7867297012876534E18,42.54
5872218787631024128,0.14886475,9.809431,1.074141841788733,5.8722187876310241E18,62.47
354737124393988736,2.075529,7.688625,1.4703244036340606,3.5473712439398874E17,670.5
353431179458405760,-0.0051221848,8.025293,1.872288086341574,3.5343117945840576E17,167.1
354780520743373440,1.1854444,6.1000957,7.4864900032406405,3.5478052074337344E17,51.73
355587184321644032,1.2009039,8.130645,2.9934492912101676,3.5558718432164403E17,189.9
353585145445653632,0.56307316,7.863304,4.631428312206387,3.5358514544565363E17,3846.0
354904765557983104,0.300848,7.231387,5.780624739221978,3.549047655579831E17,38.34
355656522274764288,-0.092060566,5.531337,8.5274859816599,3.5565652227476429E17,606.0
353730968174952704,0.1534996,8.956373,3.6515381052723304,3.537309681749527E17,114.3
355993728746239104,-0.05316305,7.075063,4.4392910505599765,3.559937287462391E17,353.7
354033574391182464,-0.09091091,6.1358643,2.9697644958264657,3.5403357439118246E17,93.82
355306911935301504,0.6010823,6.304887,16.600222272635943,3.553069119353015E17,50.83
355388688113495936,0.057899475,9.264333,1.1444828181805293,3.5538868811349594E17,724.0
356242939928396928,1.0583982,7.8628006,3.6693346191593883,3.5624293992839693E17,51.99
4070818008039364096,1.7820296,7.2723284,3.451323878722389,4.0708180080393641E18,308.3
5845661806593980416,0.1772027,7.774927,6.59159711805872,5.8456618065939804E18,142.8
5845808866240970368,0.04709339,8.706711,1.651984670318164,5.8458088662409708E18,84.34
5845822816293399808,0.55916023,8.158599,10.677247393820009,5.8458228162933996E18,130.8
4203441817805588992,0.87935925,9.210048,14.099524531280272,4.203441817805589E18,1692.0
5337971005484302208,0.6543875,16.263308,0.19247320209694685,5.3379710054843023E18,1144.0
5337971005484302592,-0.09967899,6.1765976,8.508559587026776,5.3379710054843023E18,1144.0
6028925381101231872,1.7300663,19.734756,0.47900186322834565,6.0289253811012321E18,14760.0
6028925381101232128,0.7294378,9.322039,6.979132837906573,6.0289253811012321E18,14760.0
4181303632217146496,0.512907,9.675846,3.0766678387209767,4.1813036322171464E18,32.89
4181102254087983616,2.2156234,7.5581527,1.3068750246666394,4.1811022540879836E18,74.85
4181478935598980736,0.70850945,9.386846,2.9972251883743883,4.1814789355989806E18,507.5
3181667075153704448,-0.059842587,7.8527913,3.618239682435981,3.1816670751537044E18,4277.0
3175079935351634816,0.9015999,17.222546,0.19472038048270096,3.1750799353516349E18,33.74
3175079935351635200,-0.024868011,6.791721,5.278243345379875,3.1750799353516349E18,33.74
3186825811912547840,1.0844178,7.0946755,4.358342915055948,3.1868258119125478E18,140.6
3186827834841149696,0.341156,8.445478,4.659812737729162,3.1868278348411494E18,72.99
3175287055854374272,0.8662033,15.36367,0.6585610762825105,3.1752870558543744E18,67.15
3175287055854374528,1.1425848,8.475463,2.763600210892319,3.1752870558543744E18,67.15
3186908275284655360,-0.0075359344,8.480011,3.493333965991933,3.1869082752846551E18,141.2
3178618571790457344,0.9416952,7.462994,2.9250728661552845,3.1786185717904573E18,467.9
3182115813337660544,1.0519319,6.527812,6.162798480015451,3.1821158133376604E18,122.0
3175597496090533632,1.1241984,6.611667,2.883206693364893,3.1755974960905339E18,3813.0
3182219098711167488,1.5464544,6.770121,2.2954157789383114,3.1822190987111675E18,518.8
3184689151581851904,1.985497,8.295074,0.9340650276291471,3.1846891515818516E18,95.37
3176054991710522880,0.37980032,7.9038296,8.44678774185934,3.1760549917105229E18,77.49
3187419273313737728,1.1988368,6.863818,5.34742383363294,3.1874192733137377E18,77.22
3176308055480545792,1.2427821,7.7726803,3.6402022037205204,3.1763080554805458E18,40.55
3176314034075049088,1.2878637,8.820389,2.7348969351767,3.176314034075049E18,51.36
3176391515284960128,0.8320236,8.923855,9.139918947810017,3.1763915152849603E18,60.11
3182737518443652992,0.6348038,8.127305,8.498926319950629,3.1827375184436531E18,43.48
3185308520227413120,0.30968237,7.655598,8.112553374031464,3.185308520227413E18,137.9
3176590973565861120,0.2533474,8.711254,3.775529570459132,3.1765909735658609E18,1519.0
3185424759220740480,0.6836529,7.52055,17.17666556620789,3.1854247592207406E18,36.43
3182852486128230144,0.27623558,8.604745,5.766224482084533,3.1828524861282304E18,98.55
3182852486128230400,1.0360346,16.20618,0.5368059421861607,3.1828524861282304E18,98.55
3187863544730735104,0.74773264,7.548435,14.190972571919483,3.1878635447307351E18,783.0
3185577625698613632,0.50947666,9.605172,4.678922876839533,3.1855776256986138E18,279.4
3182959374976951040,1.3758669,7.3087378,4.194066187186799,3.1829593749769513E18,158.1
3188098427902106240,0.18389893,8.298865,5.947415437561332,3.1880984279021061E18,29.07
3177244255271333248,2.384879,11.269924,45.61506887039042,3.1772442552713334E18,1188.0
3177244255271333376,2.1530447,10.404114,45.93129124019139,3.1772442552713334E18,1188.0
3180145797738356480,0.5693841,8.019565,11.50845385166159,3.1801457977383567E18,1389.0
3188273662568039936,1.1032124,7.5043097,3.2848955808179765,3.1882736625680399E18,1011.0
3186093635951144960,-0.04748726,7.076877,6.391697646804107,3.186093635951145E18,762.9
3188492151847976064,0.09146404,8.390084,4.85839266421445,3.1884921518479759E18,2050.0
3180578936599901312,1.3004937,8.590831,2.4118913162603874,3.1805789365999012E18,162.6
3188739404525173632,0.17557621,7.9110374,6.906427857391783,3.1887394045251738E18,2467.0
